Time Force Active_Force Passive_Force  Lambda Derivative Mode Calcium Troponin CrossBridges Q1 Q2 Force
294 2.09214 2.11434 -0.0222018 0.998272 7.44596e-07 3 0.221489 0.0667571 0.0162693 -0.187656 0.25578 2.11433 
295 1.96024 1.96024 0 1 7.44596e-07 0 0.220317 0.06717 0.0162206 -0.167592 0.17292 1.9604 
296 1.84413 1.84413 0 1 7.44596e-07 0 0.219151 0.0674733 0.0161968 -0.144246 0.104868 1.84421 
297 1.79295 1.79295 0 1 7.44596e-07 0 0.21799 0.0676751 0.0161894 -0.124152 0.0635976 1.79298 
298 1.77531 1.77531 0 1 7.44596e-07 0 0.216835 0.0677867 0.0161916 -0.106858 0.0385691 1.77532 
299 1.7753 1.7753 0 1 7.44596e-07 0 0.215685 0.067818 0.0161975 -0.0919723 0.0233904 1.77529 
300 1.78417 1.78417 0 1 7.44596e-07 0 0.214541 0.0677777 0.0162025 -0.0791604 0.0141852 1.78416 
301 1.79688 1.79688 0 1 7.44596e-07 0 0.213403 0.0676738 0.0162029 -0.0681332 0.0086027 1.79687 
302 1.81043 1.81043 0 1 7.44596e-07 0 0.21227 0.0675136 0.0161957 -0.0586421 0.00521715 1.81042 
303 1.82305 1.82305 0 1 7.44596e-07 0 0.211143 0.0673033 0.0161786 -0.0504732 0.00316397 1.82304 
304 1.83371 1.83371 0 1 7.44596e-07 0 0.210021 0.0670488 0.01615 -0.0434422 0.0019188 1.8337 
305 1.84183 1.84183 0 1 7.44596e-07 0 0.208904 0.066755 0.0161088 -0.0373906 0.00116367 1.84183 
306 1.84715 1.84715 0 1 7.44596e-07 0 0.207793 0.0664266 0.0160543 -0.032182 0.000705711 1.84715 
307 1.84957 1.84957 0 1 7.44596e-07 0 0.206688 0.0660678 0.015986 -0.027699 0.000427982 1.84957 
308 1.8491 1.8491 0 1 7.44596e-07 0 0.205588 0.0656822 0.0159038 -0.0238405 0.000259552 1.8491 
309 1.84585 1.84585 0 1 7.44596e-07 0 0.204493 0.0652731 0.015808 -0.0205195 0.000157406 1.84586 
310 1.83995 1.83995 0 1 7.44596e-07 0 0.203404 0.0648435 0.0156988 -0.0176611 9.54599e-05 1.83996 
311 1.83157 1.83157 0 1 7.44596e-07 0 0.202321 0.0643961 0.0155768 -0.0152009 5.78921e-05 1.83158 
312 1.82087 1.82087 0 1 7.44596e-07 0 0.201242 0.0639331 0.0154425 -0.0130834 3.51089e-05 1.82088 
313 1.80804 1.80804 0 1 7.44596e-07 0 0.200169 0.0634568 0.0152967 -0.0112608 2.1292e-05 1.80806 
314 1.79327 1.79327 0 1 7.44596e-07 0 0.199102 0.062969 0.01514 -0.00969217 1.29126e-05 1.79328 
315 1.77672 1.77672 0 1 7.44596e-07 0 0.19804 0.0624715 0.0149732 -0.00834204 7.83093e-06 1.77673 
316 1.75857 1.75857 0 1 7.44596e-07 0 0.196983 0.0619657 0.0147972 -0.00717998 4.7491e-06 1.75859 
317 1.73898 1.73898 0 1 7.44596e-07 0 0.195932 0.0614531 0.0146128 -0.00617979 2.88012e-06 1.739 
318 1.71811 1.71811 0 1 7.44596e-07 0 0.194886 0.0609349 0.0144207 -0.00531894 1.74666e-06 1.71813 
319 1.6961 1.6961 0 1 7.44596e-07 0 0.193845 0.0604122 0.0142218 -0.004578 1.05927e-06 1.69613 
320 1.6731 1.6731 0 1 7.44596e-07 0 0.19281 0.0598859 0.0140169 -0.00394028 6.424e-07 1.67312 
321 1.64923 1.64923 0 1 7.44596e-07 0 0.19178 0.0593569 0.0138067 -0.00339139 3.89586e-07 1.64925 
322 1.6246 1.6246 0 1 7.44596e-07 0 0.190755 0.0588261 0.013592 -0.00291896 2.36267e-07 1.62463 
323 1.59935 1.59935 0 1 7.44596e-07 0 0.189736 0.0582941 0.0133733 -0.00251235 1.43285e-07 1.59937 
324 1.57355 1.57355 0 1 7.44596e-07 0 0.188721 0.0577616 0.0131515 -0.00216237 8.68959e-08 1.57358 
325 1.54732 1.54732 0 1 7.44596e-07 0 0.187712 0.057229 0.012927 -0.00186115 5.26984e-08 1.54735 
326 1.52075 1.52075 0 1 7.44596e-07 0 0.186709 0.056697 0.0127005 -0.00160189 3.19592e-08 1.52077 
327 1.4939 1.4939 0 1 7.44596e-07 0 0.18571 0.0561659 0.0124726 -0.00137874 1.93818e-08 1.49393 
328 1.46686 1.46686 0 1 7.44596e-07 0 0.184717 0.0556362 0.0122436 -0.00118668 1.17542e-08 1.46689 
329 1.43969 1.43969 0 1 7.44596e-07 0 0.183729 0.0551081 0.0120142 -0.00102138 7.12839e-09 1.43972 
330 1.41246 1.41246 0 1 7.44596e-07 0 0.182746 0.0545821 0.0117847 -0.000879096 4.32305e-09 1.41249 
331 1.38523 1.38523 0 1 7.44596e-07 0 0.181768 0.0540584 0.0115556 -0.000756636 2.62173e-09 1.38525 
332 1.35803 1.35803 0 1 7.44596e-07 0 0.180795 0.0535372 0.0113271 -0.000651236 1.58996e-09 1.35806 
333 1.33093 1.33093 0 1 7.44596e-07 0 0.179827 0.0530188 0.0110997 -0.000560517 9.6424e-10 1.33096 
334 1.30397 1.30397 0 1 7.44596e-07 0 0.178865 0.0525033 0.0108737 -0.000482436 5.84768e-10 1.30399 
335 1.27717 1.27717 0 1 7.44596e-07 0 0.177908 0.051991 0.0106493 -0.000415232 3.54636e-10 1.27719 
336 1.25057 1.25057 0 1 7.44596e-07 0 0.176955 0.0514819 0.0104267 -0.00035739 2.1507e-10 1.2506 
337 1.22422 1.22422 0 1 7.44596e-07 0 0.176008 0.0509762 0.0102063 -0.000307605 1.3043e-10 1.22424 
