Time D1Force D1M1Lambda D2M2Lambda D1Lambda Mode1 D2Force D2M1Lambda D2M2Lambda D2Lambda Mode2
257.001 19.2009 0.968948 0.814153 0.891551 2 0.488998 0.985648 0.942927 0.964287 3
258.001 18.9229 0.970699 0.812402 0.891551 2 0.478703 0.986069 0.944106 0.965087 3
259.001 18.6409 0.972494 0.810607 0.891551 2 0.468736 0.986483 0.945291 0.965887 3
260.001 18.3547 0.974336 0.808765 0.891551 2 0.459098 0.986894 0.946481 0.966687 3
261.001 18.0643 0.976226 0.806875 0.891551 2 0.449789 0.987301 0.947674 0.967487 3
262.001 17.7697 0.978165 0.804936 0.891551 2 0.440807 0.987706 0.948869 0.968287 3
263.001 17.4708 0.980156 0.802945 0.891551 2 0.432154 0.98811 0.950065 0.969087 3
264.001 17.1678 0.982201 0.8009 0.891551 2 0.423829 0.988514 0.951261 0.969887 3
265.001 16.8604 0.984301 0.7988 0.891551 2 0.415833 0.988919 0.952455 0.970687 3
266.001 16.5488 0.986459 0.796643 0.891551 2 0.408165 0.989327 0.953648 0.971487 3
267.001 16.2329 0.988676 0.794425 0.891551 2 0.400825 0.989736 0.954839 0.972287 3
268.001 15.9128 0.990954 0.792147 0.891551 2 0.393813 0.990149 0.956026 0.973087 3
269.001 15.5884 0.993296 0.789805 0.891551 2 0.387129 0.990566 0.957209 0.973887 3
270.001 15.2599 0.995703 0.787398 0.891551 2 0.380772 0.990987 0.958388 0.974687 3
271.001 14.9271 0.998177 0.784924 0.891551 2 0.37474 0.991412 0.959563 0.975487 3
272.001 14.5903 1.00072 0.782381 0.891551 2 0.369034 0.991842 0.960733 0.976287 3
273.001 14.2495 1.00333 0.779768 0.891551 2 0.363653 0.992277 0.961898 0.977087 3
274.001 13.9047 1.00602 0.777084 0.891551 2 0.358595 0.992717 0.963058 0.977887 3
275.001 13.5563 1.00877 0.774327 0.891551 2 0.35386 0.993162 0.964213 0.978687 3
276.001 13.2043 1.0116 0.771496 0.891551 2 0.349446 0.993612 0.965363 0.979487 3
277.001 12.8489 1.01451 0.768592 0.891551 2 0.345354 0.994068 0.966507 0.980287 3
278.001 12.4905 1.01749 0.765615 0.891551 2 0.341581 0.994529 0.967646 0.981087 3
279.001 12.1293 1.02054 0.762566 0.891551 2 0.338128 0.994995 0.96878 0.981887 3
280.001 11.7656 1.02366 0.759445 0.891551 2 0.334994 0.995466 0.969908 0.982687 3
281.001 11.4001 1.02684 0.756256 0.891551 2 0.332178 0.995943 0.971032 0.983487 3
282.001 11.033 1.0301 0.753002 0.891551 2 0.32968 0.996425 0.97215 0.984287 3
283.001 10.6651 1.03341 0.749686 0.891551 2 0.327499 0.996913 0.973262 0.985087 3
284.001 10.2968 1.03679 0.746315 0.891551 2 0.325637 0.997405 0.974369 0.985887 3
285.001 9.92898 1.04021 0.742894 0.891551 2 0.324092 0.997903 0.975472 0.986687 3
286.001 9.56229 1.04367 0.739431 0.891551 2 0.322866 0.998406 0.976568 0.987487 3
287.001 9.19755 1.04717 0.735935 0.891551 2 0.321958 0.998915 0.97766 0.988287 3
288.001 8.8356 1.05069 0.732413 0.891551 2 0.321369 0.999429 0.978746 0.989087 3
289.001 8.4773 1.05422 0.728878 0.891551 2 0.3211 0.999948 0.979827 0.989887 3
290.001 8.12352 1.05776 0.725338 0.891551 2 0.321152 1.00047 0.980903 0.990687 3
291.001 7.7751 1.0613 0.721805 0.891551 2 0.321525 1.001 0.981974 0.991487 3
292.001 7.43287 1.06481 0.718291 0.891551 2 0.322221 1.00154 0.983039 0.992287 3
293.001 7.09757 1.0683 0.714804 0.891551 2 0.323241 1.00208 0.984099 0.993087 3
294.001 6.76989 1.07174 0.711356 0.891551 2 0.324586 1.00262 0.985153 0.993887 3
295.001 6.45041 1.07514 0.707956 0.891551 2 0.326258 1.00317 0.986203 0.994687 3
296.001 6.13964 1.07849 0.704612 0.891551 2 0.328258 1.00373 0.987247 0.995487 3
297.001 5.83796 1.08177 0.701331 0.891551 2 0.330588 1.00429 0.988286 0.996287 3
298.001 5.54566 1.08498 0.69812 0.891551 2 0.33325 1.00485 0.98932 0.997087 3
299.001 5.26293 1.08812 0.694982 0.891551 2 0.336246 1.00543 0.990349 0.997887 3
